Course Name,Course Description,Professor Name and Link
CSCI-331,No Cluster,Reynold Bailey (https://www.ratemyprofessors.com/search/professors/807?q=Reynold%20Bailey)
1. CSCI-331-01,Architech & Operating Systems,Reynold Bailey (https://www.ratemyprofessors.com/search/professors/807?q=Reynold%20Bailey)
2. CSCI-331-02,Comp Graph & Visual Cluster,Reynold Bailey (https://www.ratemyprofessors.com/search/professors/807?q=Reynold%20Bailey)
3. CSCI-331-03,Data Management Cluster,Reynold Bailey (https://www.ratemyprofessors.com/search/professors/807?q=Reynold%20Bailey)
4. CSCI-331-04,Distributed Systems Cluster,Reynold Bailey (https://www.ratemyprofessors.com/search/professors/807?q=Reynold%20Bailey)
5. CSCI-331-05,Intelligent Systems Cluster,Reynold Bailey (https://www.ratemyprofessors.com/search/professors/807?q=Reynold%20Bailey)
CSCI-335,Languages and Tools Cluster,Reynold Bailey (https://www.ratemyprofessors.com/search/professors/807?q=Reynold%20Bailey)
1. CSCI-335-01,Security Cluster,Reynold Bailey (https://www.ratemyprofessors.com/search/professors/807?q=Reynold%20Bailey)
2. CSCI-335-02,Theory Cluster,Reynold Bailey (https://www.ratemyprofessors.com/search/professors/807?q=Reynold%20Bailey)
3. CSCI-335-03,Computational Problem Solving,Maria Jose Cepeda Garcia (https://www.ratemyprofessors.com/search/professors/807?q=Maria%20Jose%20Cepeda%20Garcia)
CSCI-344,Computational Problem Solving,Maria Jose Cepeda Garcia (https://www.ratemyprofessors.com/search/professors/807?q=Maria%20Jose%20Cepeda%20Garcia)
1. CSCI-344-01,Computational Problem Solving,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
2. CSCI-344-02,Adv OO Programming Concepts,Eduardo Coelho De Lima (https://www.ratemyprofessors.com/search/professors/807?q=Eduardo%20Coelho%20De%20Lima)
3. CSCI-344-03,Adv OO Programming Concepts,Hans-Peter Bischof (https://www.ratemyprofessors.com/search/professors/807?q=Hans-Peter%20Bischof)
CSCI-351,Adv OO Programming Concepts,Eduardo Coelho De Lima (https://www.ratemyprofessors.com/search/professors/807?q=Eduardo%20Coelho%20De%20Lima)
1. CSCI-351-01,Found of Computer Graphics,Joe Geigel (https://www.ratemyprofessors.com/search/professors/807?q=Joe%20Geigel)
CSCI-352,Introduction to Big Data,Rajendra Raj (https://www.ratemyprofessors.com/search/professors/807?q=Rajendra%20Raj)
1. CSCI-352-01,Introduction to Big Data,Michael Mior (https://www.ratemyprofessors.com/search/professors/807?q=Michael%20Mior)
CSCI-420,Database System Implementation,Xumin Liu (https://www.ratemyprofessors.com/search/professors/807?q=Xumin%20Liu)
1. CSCI-420-01,Found Artificial Intelligence,Zachary Butler (https://www.ratemyprofessors.com/search/professors/807?q=Zachary%20Butler)
2. CSCI-420-02,Foundations of Computer Vision,Richard Lange (https://www.ratemyprofessors.com/search/professors/807?q=Richard%20Lange)
CSCI-431,Intro to Machine Learning,Alexander Ororbia (https://www.ratemyprofessors.com/search/professors/807?q=Alexander%20Ororbia)
1. CSCI-431-01,Intro to Machine Learning,Haibo Yang (https://www.ratemyprofessors.com/search/professors/807?q=Haibo%20Yang)
CSCI-462,Intro to Machine Learning,Eduardo Coelho De Lima (https://www.ratemyprofessors.com/search/professors/807?q=Eduardo%20Coelho%20De%20Lima)
1. CSCI-462-01,Funcprogramming&Haskell,Arthur Nunes (https://www.ratemyprofessors.com/search/professors/807?q=Arthur%20Nunes)
2. CSCI-462-02,Secure Coding,Rajendra Raj (https://www.ratemyprofessors.com/search/professors/807?q=Rajendra%20Raj)
3. CSCI-462-03,Found of Comp Science Theory,Ting Cao (https://www.ratemyprofessors.com/search/professors/807?q=Ting%20Cao)
4. CSCI-462-600,Found of Comp Science Theory,Aaron Deever (https://www.ratemyprofessors.com/search/professors/807?q=Aaron%20Deever)
5. CSCI-462-601,Found of Comp Science Theory,Aaron Deever (https://www.ratemyprofessors.com/search/professors/807?q=Aaron%20Deever)
CSCI-464,Foundations of Cryptography,Stanislaw Radziszowski (https://www.ratemyprofessors.com/search/professors/807?q=Stanislaw%20Radziszowski)
1. CSCI-464-01,Foundations of Algorithms,Ting Cao (https://www.ratemyprofessors.com/search/professors/807?q=Ting%20Cao)
CSCI-471,Comp Sci Graduate Co-op,Hans-Peter Bischof (https://www.ratemyprofessors.com/search/professors/807?q=Hans-Peter%20Bischof)
1. CSCI-471-01,Apps in Virtual Reality,Joe Geigel (https://www.ratemyprofessors.com/search/professors/807?q=Joe%20Geigel)
2. CSCI-471-02,Computational Geometry,Reynold Bailey (https://www.ratemyprofessors.com/search/professors/807?q=Reynold%20Bailey)
CSCI-472,Big Data Analytics,Thomas Kinsman (https://www.ratemyprofessors.com/search/professors/807?q=Thomas%20Kinsman)
1. CSCI-472-01,Adv DB: Graph Databases,Carlos Rafael Rivero Osuna (https://www.ratemyprofessors.com/search/professors/807?q=Carlos%20Rafael%20Rivero%20Osuna)
2. CSCI-472-02,Web Serv & Serv Oriented Comp,Xumin Liu (https://www.ratemyprofessors.com/search/professors/807?q=Xumin%20Liu)
CSCI-499,Adv DB: NoSQL/NewSQL,Michael Mior (https://www.ratemyprofessors.com/search/professors/807?q=Michael%20Mior)
1. CSCI-499-01,Found of Intell Security Sys,Leonid Reznik (https://www.ratemyprofessors.com/search/professors/807?q=Leonid%20Reznik)
CSCI-510,Intelligence 4 Autonomous Driv,Fawad Ahmad (https://www.ratemyprofessors.com/search/professors/807?q=Fawad%20Ahmad)
1. CSCI-510-01,Machine Learning Sys Implement,Weijie Zhao (https://www.ratemyprofessors.com/search/professors/807?q=Weijie%20Zhao)
CSCI-532,Programming Language Theory,Arthur Azevedo de Amorim (https://www.ratemyprofessors.com/search/professors/807?q=Arthur%20Azevedo%20de%20Amorim)
1. CSCI-532-01,MS Thesis Proposal & Prep,Hans-Peter Bischof (https://www.ratemyprofessors.com/search/professors/807?q=Hans-Peter%20Bischof)
CSCI-541,Computer Science MS Project,Hans-Peter Bischof (https://www.ratemyprofessors.com/search/professors/807?q=Hans-Peter%20Bischof)
1. CSCI-541-01,Computer Science MS Project,Hans-Peter Bischof (https://www.ratemyprofessors.com/search/professors/807?q=Hans-Peter%20Bischof)
2. CSCI-541-02,Computer Science MS Project,Hans-Peter Bischof (https://www.ratemyprofessors.com/search/professors/807?q=Hans-Peter%20Bischof)
CSCI-571,Computer Science MS Project,Hans-Peter Bischof (https://www.ratemyprofessors.com/search/professors/807?q=Hans-Peter%20Bischof)
1. CSCI-571-01,Computer Science MS Project,Hans-Peter Bischof (https://www.ratemyprofessors.com/search/professors/807?q=Hans-Peter%20Bischof)
CSCI-589,Computer Science MS Project,Hans-Peter Bischof (https://www.ratemyprofessors.com/search/professors/807?q=Hans-Peter%20Bischof)
1. CSCI-589-01,MS Thesis Proposal,Hans-Peter Bischof (https://www.ratemyprofessors.com/search/professors/807?q=Hans-Peter%20Bischof)
CSCI-590,No Cluster,Hans-Peter Bischof (https://www.ratemyprofessors.com/search/professors/807?q=Hans-Peter%20Bischof)
1. CSCI-590-01,Architecture And Operating Sys,Hans-Peter Bischof (https://www.ratemyprofessors.com/search/professors/807?q=Hans-Peter%20Bischof)
CSCI-599,Computer Graphics And Visualiz,Hans-Peter Bischof (https://www.ratemyprofessors.com/search/professors/807?q=Hans-Peter%20Bischof)
1. CSCI-599-01,Data Management Cluster,Hans-Peter Bischof (https://www.ratemyprofessors.com/search/professors/807?q=Hans-Peter%20Bischof)
2. CSCI-599-02,Distributed Systems Cluster,Hans-Peter Bischof (https://www.ratemyprofessors.com/search/professors/807?q=Hans-Peter%20Bischof)
3. CSCI-599-03,Intelligent Systems Cluster,Hans-Peter Bischof (https://www.ratemyprofessors.com/search/professors/807?q=Hans-Peter%20Bischof)
4. CSCI-599-04,Languages And Tools Cluster,Hans-Peter Bischof (https://www.ratemyprofessors.com/search/professors/807?q=Hans-Peter%20Bischof)
5. CSCI-599-05,Security Cluster,Hans-Peter Bischof (https://www.ratemyprofessors.com/search/professors/807?q=Hans-Peter%20Bischof)
6. CSCI-599-06,Theory Cluster,Hans-Peter Bischof (https://www.ratemyprofessors.com/search/professors/807?q=Hans-Peter%20Bischof)
7. CSCI-599-07,Continuation of Thesis,Hans-Peter Bischof (https://www.ratemyprofessors.com/search/professors/807?q=Hans-Peter%20Bischof)
8. CSCI-599-08,Continuation of Project,Hans-Peter Bischof (https://www.ratemyprofessors.com/search/professors/807?q=Hans-Peter%20Bischof)
9. CSCI-599-09,Proposal Development,Hans-Peter Bischof (https://www.ratemyprofessors.com/search/professors/807?q=Hans-Peter%20Bischof)
CSCI-603,Undergraduate Co-op Seminar,Reynold Bailey (https://www.ratemyprofessors.com/search/professors/807?q=Reynold%20Bailey)
1. CSCI-603-01,Undergraduate Co-op Seminar,Reynold Bailey (https://www.ratemyprofessors.com/search/professors/807?q=Reynold%20Bailey)
2. CSCI-603-02,Undergraduate Co-op Seminar,Reynold Bailey (https://www.ratemyprofessors.com/search/professors/807?q=Reynold%20Bailey)
3. CSCI-603-03,Introduction to Cybersecurity,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
CSCI-605,Introduction to Cybersecurity,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
1. CSCI-605-01,Introduction to Cybersecurity,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
2. CSCI-605-02,Introduction to Cybersecurity,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
3. CSCI-605-03,Introduction to Cybersecurity,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
CSCI-610,Introduction to Cybersecurity,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
1. CSCI-610-01,Introduction to Cybersecurity,Qusai Hasan (https://www.ratemyprofessors.com/search/professors/807?q=Qusai%20Hasan)
CSCI-620,Introduction to Cybersecurity,Qusai Hasan (https://www.ratemyprofessors.com/search/professors/807?q=Qusai%20Hasan)
1. CSCI-620-01,Introduction to Cybersecurity,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
2. CSCI-620-02,Introduction to Cybersecurity,Kevser Ovaz Akpinar (https://www.ratemyprofessors.com/search/professors/807?q=Kevser%20Ovaz%20Akpinar)
CSCI-621,Introduction to Cybersecurity,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
1. CSCI-621-01,Prog for InfoSec,Robert Olson (https://www.ratemyprofessors.com/search/professors/807?q=Robert%20Olson)
CSCI-630,Prog for InfoSec,Robert Olson (https://www.ratemyprofessors.com/search/professors/807?q=Robert%20Olson)
1. CSCI-630-01,Prog for InfoSec,Robert Olson (https://www.ratemyprofessors.com/search/professors/807?q=Robert%20Olson)
CSCI-631,Prog for InfoSec,Gahyun Park (https://www.ratemyprofessors.com/search/professors/807?q=Gahyun%20Park)
1. CSCI-631-01,Prog for InfoSec,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
CSCI-635,Prog for InfoSec,Huda Saadeh (https://www.ratemyprofessors.com/search/professors/807?q=Huda%20Saadeh)
1. CSCI-635-01,Prog for InfoSec,Huda Saadeh (https://www.ratemyprofessors.com/search/professors/807?q=Huda%20Saadeh)
2. CSCI-635-02,Reverse Engineering Fund,Jonathan Weissman (https://www.ratemyprofessors.com/search/professors/807?q=Jonathan%20Weissman)
3. CSCI-635-03,Endpoint Security Engineering,James Brigden (https://www.ratemyprofessors.com/search/professors/807?q=James%20Brigden)
CSCI-641,Endpoint Security Engineering,James Brigden (https://www.ratemyprofessors.com/search/professors/807?q=James%20Brigden)
1. CSCI-641-01,Prin Web Application Security,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
CSCI-642,Prin Web Application Security,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
1. CSCI-642-01,Computer System Security,Kevser Ovaz Akpinar (https://www.ratemyprofessors.com/search/professors/807?q=Kevser%20Ovaz%20Akpinar)
CSCI-661,Computer System Security,Kevser Ovaz Akpinar (https://www.ratemyprofessors.com/search/professors/807?q=Kevser%20Ovaz%20Akpinar)
1. CSCI-661-01,Network Security and Forensics,Jonathan Weissman (https://www.ratemyprofessors.com/search/professors/807?q=Jonathan%20Weissman)
2. CSCI-661-02,Network Security and Forensics,Jonathan Weissman (https://www.ratemyprofessors.com/search/professors/807?q=Jonathan%20Weissman)
3. CSCI-661-03,Network Security and Forensics,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
CSCI-662,Network Security and Forensics,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
1. CSCI-662-01,Computer System Forensics,Yin Pan (https://www.ratemyprofessors.com/search/professors/807?q=Yin%20Pan)
CSCI-665,Netwk & System Security Audit,Lucas Morris (https://www.ratemyprofessors.com/search/professors/807?q=Lucas%20Morris)
1. CSCI-665-01,Risk Mgmt for Info Security,Tamika Williams (https://www.ratemyprofessors.com/search/professors/807?q=Tamika%20Williams)
CSCI-699,Risk Mgmt for Info Security,Charalampos Manifavas (https://www.ratemyprofessors.com/search/professors/807?q=Charalampos%20Manifavas)
1. CSCI-699-01,Penetration Testing,William Stackpole (https://www.ratemyprofessors.com/search/professors/807?q=William%20Stackpole)
CSCI-715,Penetration Testing,William Stackpole (https://www.ratemyprofessors.com/search/professors/807?q=William%20Stackpole)
1. CSCI-715-01,Penetration Testing,Kevser Ovaz Akpinar (https://www.ratemyprofessors.com/search/professors/807?q=Kevser%20Ovaz%20Akpinar)
CSCI-716,Authentication,Bo Yuan (https://www.ratemyprofessors.com/search/professors/807?q=Bo%20Yuan)
1. CSCI-716-01,Authentication,Yidan Hu (https://www.ratemyprofessors.com/search/professors/807?q=Yidan%20Hu)
CSCI-720,Cyber Defense Techniques,Daryl Johnson (https://www.ratemyprofessors.com/search/professors/807?q=Daryl%20Johnson)
1. CSCI-720-01,Cyber Defense Techniques,Daryl Johnson (https://www.ratemyprofessors.com/search/professors/807?q=Daryl%20Johnson)
CSCI-723,Capstone in Cybersecurity,Hanif Rahbari (https://www.ratemyprofessors.com/search/professors/807?q=Hanif%20Rahbari)
1. CSCI-723-01,Capstone in Cybersecurity,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
CSCI-724,Coop  Security Fundamentals,Robert Olson (https://www.ratemyprofessors.com/search/professors/807?q=Robert%20Olson)
1. CSCI-724-01,Cooperative Education in CSEC,Robert Olson (https://www.ratemyprofessors.com/search/professors/807?q=Robert%20Olson)
CSCI-725,Cooperative Education in CSEC,Wesam Almobaideen (https://www.ratemyprofessors.com/search/professors/807?q=Wesam%20Almobaideen)
1. CSCI-725-01,Cooperative Education in CSEC,Khalil Al Hussaeni (https://www.ratemyprofessors.com/search/professors/807?q=Khalil%20Al%20Hussaeni)
CSCI-735,Cyber Analytics & ML,Bo Yuan (https://www.ratemyprofessors.com/search/professors/807?q=Bo%20Yuan)
1. CSCI-735-01,Cyber Analytics & ML,Wesam Almobaideen (https://www.ratemyprofessors.com/search/professors/807?q=Wesam%20Almobaideen)
CSCI-739,Side Channel Analysis,Billy Brumley (https://www.ratemyprofessors.com/search/professors/807?q=Billy%20Brumley)
1. CSCI-739-01,Trusted Computing,Ivan De Oliveira Nunes (https://www.ratemyprofessors.com/search/professors/807?q=Ivan%20De%20Oliveira%20Nunes)
2. CSCI-739-02,Hacking for Defense (UGRD),James Santa (https://www.ratemyprofessors.com/search/professors/807?q=James%20Santa)
CSCI-740,Independent Study in CSEC,Robert Olson (https://www.ratemyprofessors.com/search/professors/807?q=Robert%20Olson)
1. CSCI-740-01,Independent Study in CSEC,Justin Pelletier (https://www.ratemyprofessors.com/search/professors/807?q=Justin%20Pelletier)
CSCI-787,Introduction to Computing Sec,Jonathan Weissman (https://www.ratemyprofessors.com/search/professors/807?q=Jonathan%20Weissman)
1. CSCI-787-01,Crypto & Authentication,Sumita Mishra (https://www.ratemyprofessors.com/search/professors/807?q=Sumita%20Mishra)
CSCI-788,Cyber Analytics & ML,Bo Yuan (https://www.ratemyprofessors.com/search/professors/807?q=Bo%20Yuan)
1. CSCI-788-01,Side Channel Analysis,Billy Brumley (https://www.ratemyprofessors.com/search/professors/807?q=Billy%20Brumley)
2. CSCI-788-01C1,Trusted Computing,Ivan De Oliveira Nunes (https://www.ratemyprofessors.com/search/professors/807?q=Ivan%20De%20Oliveira%20Nunes)
3. CSCI-788-02,Hacking Defense (Graduate),James Santa (https://www.ratemyprofessors.com/search/professors/807?q=James%20Santa)
4. CSCI-788-02C1,Graduate Co-op,Sumita Mishra (https://www.ratemyprofessors.com/search/professors/807?q=Sumita%20Mishra)
5. CSCI-788-03,Info Security Risk Mgmt,Ehsan Warriach (https://www.ratemyprofessors.com/search/professors/807?q=Ehsan%20Warriach)
6. CSCI-788-03C1,Computer System Security,Kevser Ovaz Akpinar (https://www.ratemyprofessors.com/search/professors/807?q=Kevser%20Ovaz%20Akpinar)
CSCI-790,Computer System Security,Kevser Ovaz Akpinar (https://www.ratemyprofessors.com/search/professors/807?q=Kevser%20Ovaz%20Akpinar)
1. CSCI-790-01,Covert Communications,Daryl Johnson (https://www.ratemyprofessors.com/search/professors/807?q=Daryl%20Johnson)
CSCI-799,Info Security Policy & Law,Viviane Stover (https://www.ratemyprofessors.com/search/professors/807?q=Viviane%20Stover)
1. CSCI-799-01,Human Factors,Ersin Uzun (https://www.ratemyprofessors.com/search/professors/807?q=Ersin%20Uzun)
2. CSCI-799-02,MS Thesis,Sumita Mishra (https://www.ratemyprofessors.com/search/professors/807?q=Sumita%20Mishra)
3. CSCI-799-03,MS Thesis,Wesam Almobaideen (https://www.ratemyprofessors.com/search/professors/807?q=Wesam%20Almobaideen)
4. CSCI-799-04,MS Project,Sumita Mishra (https://www.ratemyprofessors.com/search/professors/807?q=Sumita%20Mishra)
5. CSCI-799-05,Independent Study,Justin Pelletier (https://www.ratemyprofessors.com/search/professors/807?q=Justin%20Pelletier)
6. CSCI-799-06,Independent Study,Jonathan Weissman (https://www.ratemyprofessors.com/search/professors/807?q=Jonathan%20Weissman)
7. CSCI-799-07,SFS Seminar,Bo Yuan (https://www.ratemyprofessors.com/search/professors/807?q=Bo%20Yuan)
8. CSCI-799-08,Continuation of Thesis,Sumita Mishra (https://www.ratemyprofessors.com/search/professors/807?q=Sumita%20Mishra)
9. CSCI-799-09,Continuation of Project,Sumita Mishra (https://www.ratemyprofessors.com/search/professors/807?q=Sumita%20Mishra)
CSCI-900,Proposal Development,Sumita Mishra (https://www.ratemyprofessors.com/search/professors/807?q=Sumita%20Mishra)
1. CSCI-900-01,Cooperative Education Seminar,Michelle Magee (https://www.ratemyprofessors.com/search/professors/807?q=Michelle%20Magee)
CSCI-901,Cooperative Education Seminar,Michelle Magee (https://www.ratemyprofessors.com/search/professors/807?q=Michelle%20Magee)
1. CSCI-901-01,Cooperative Education Seminar,Manisha Daswani (https://www.ratemyprofessors.com/search/professors/807?q=Manisha%20Daswani)
CSCI-909,Applied Data Science I,Yuan Liao (https://www.ratemyprofessors.com/search/professors/807?q=Yuan%20Liao)
1. CSCI-909-01,Applied Data Science I,Ashiqur KhudaBukhsh (https://www.ratemyprofessors.com/search/professors/807?q=Ashiqur%20KhudaBukhsh)
CSCI-99,Applied Data Science II,Travis Desell (https://www.ratemyprofessors.com/search/professors/807?q=Travis%20Desell)
1. CSCI-99-01,Fnd. Data Science & Analytics,Nidhi Rastogi (https://www.ratemyprofessors.com/search/professors/807?q=Nidhi%20Rastogi)
2. CSCI-99-02,Fnd. Data Science & Analytics,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
3. CSCI-99-03,Fnd. Data Science & Analytics,Zhe Yu (https://www.ratemyprofessors.com/search/professors/807?q=Zhe%20Yu)
CSEC,Fnd. Data Science & Analytics,Alan Mutka (https://www.ratemyprofessors.com/search/professors/807?q=Alan%20Mutka)
CSEC-140,SW Engineering for Data Sci.,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
1. CSEC-140-01,Graduate Co-op Experience,Travis Desell (https://www.ratemyprofessors.com/search/professors/807?q=Travis%20Desell)
2. CSEC-140-02,Part-Time Graduate Co-op,Travis Desell (https://www.ratemyprofessors.com/search/professors/807?q=Travis%20Desell)
3. CSEC-140-03,Continuation of Capstone,Travis Desell (https://www.ratemyprofessors.com/search/professors/807?q=Travis%20Desell)
4. CSEC-140-04,ML on Political Data,Ashiqur KhudaBukhsh (https://www.ratemyprofessors.com/search/professors/807?q=Ashiqur%20KhudaBukhsh)
5. CSEC-140-05,Explainable AI,Nidhi Rastogi (https://www.ratemyprofessors.com/search/professors/807?q=Nidhi%20Rastogi)
6. CSEC-140-06,Graduate Capstone,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
7. CSEC-140-600,SoftwareDev&ProbSolv_I,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
8. CSEC-140-601,SoftwareDev&ProbSolv_I,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
9. CSEC-140-602,SoftwareDev&ProbSolv_I,Gahyun Park (https://www.ratemyprofessors.com/search/professors/807?q=Gahyun%20Park)
10. CSEC-140-603,SoftwareDev&ProbSolv_I,Gahyun Park (https://www.ratemyprofessors.com/search/professors/807?q=Gahyun%20Park)
11. CSEC-140-604,SoftwareDev&ProbSolv_I,Thomas Maszerowski (https://www.ratemyprofessors.com/search/professors/807?q=Thomas%20Maszerowski)
CSEC-201,SoftwareDev&ProbSolv_I,Christopher Wake (https://www.ratemyprofessors.com/search/professors/807?q=Christopher%20Wake)
1. CSEC-201-01,SoftwareDev&ProbSolv_I,Robert St Jacques (https://www.ratemyprofessors.com/search/professors/807?q=Robert%20St%20Jacques)
2. CSEC-201-02,SoftwareDev&ProbSolv_I,Bruce Herring (https://www.ratemyprofessors.com/search/professors/807?q=Bruce%20Herring)
3. CSEC-201-03,SoftwareDev&ProbSolv_I,Robert St Jacques (https://www.ratemyprofessors.com/search/professors/807?q=Robert%20St%20Jacques)
4. CSEC-201-04,SoftwareDev&ProbSolv_I,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
5. CSEC-201-05,SoftwareDev&ProbSolv_I,David Patric (https://www.ratemyprofessors.com/search/professors/807?q=David%20Patric)
6. CSEC-201-600,SoftwareDev&ProbSolv_I,Lawrence Hill (https://www.ratemyprofessors.com/search/professors/807?q=Lawrence%20Hill)
7. CSEC-201-601,SoftwareDev&ProbSolv_I,Tanweer Alam (https://www.ratemyprofessors.com/search/professors/807?q=Tanweer%20Alam)
CSEC-202,SoftwareDev&ProbSolv_I,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
1. CSEC-202-01,SoftwareDev&ProbSolv_I,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
CSEC-310,SoftwareDev&ProbSolv_I,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
1. CSEC-310-01,SoftwareDev&ProbSolv_I,Mehtab Khurshid (https://www.ratemyprofessors.com/search/professors/807?q=Mehtab%20Khurshid)
2. CSEC-310-01L1,SoftwareDev&ProbSolv_I,Mehtab Khurshid (https://www.ratemyprofessors.com/search/professors/807?q=Mehtab%20Khurshid)
CSEC-380,SoftwareDev&ProbSolv_I,Mehtab Khurshid (https://www.ratemyprofessors.com/search/professors/807?q=Mehtab%20Khurshid)
1. CSEC-380-01,SoftwareDev&ProbSolv_I,Mehtab Khurshid (https://www.ratemyprofessors.com/search/professors/807?q=Mehtab%20Khurshid)
2. CSEC-380-02,SoftwareDev&ProbSolv_I,Danilo Kovacevic (https://www.ratemyprofessors.com/search/professors/807?q=Danilo%20Kovacevic)
CSEC-461,SoftwareDev&ProbSolv_I,Danilo Kovacevic (https://www.ratemyprofessors.com/search/professors/807?q=Danilo%20Kovacevic)
1. CSEC-461-600,SoftwareDev&ProbSolv_I,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
2. CSEC-461-60L1,SoftwareDev&ProbSolv_I,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
CSEC-462,SoftwareDev&ProbSolv_I,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
1. CSEC-462-01,SoftwareDev&ProbSolv_I,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
2. CSEC-462-01L1,SoftwareDev&ProbSolv_I,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
3. CSEC-462-600,SoftwareDev&ProbSolv_I,Domagoj Tolic (https://www.ratemyprofessors.com/search/professors/807?q=Domagoj%20Tolic)
4. CSEC-462-60L1,SoftwareDev&ProbSolv_I,Alan Mutka (https://www.ratemyprofessors.com/search/professors/807?q=Alan%20Mutka)
CSEC-464,SoftwareDev&ProbSolvII,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
1. CSEC-464-01,SoftwareDev&ProbSolvII,Damian Kumor (https://www.ratemyprofessors.com/search/professors/807?q=Damian%20Kumor)
CSEC-465,SoftwareDev&ProbSolvII,Danilo Kovacevic (https://www.ratemyprofessors.com/search/professors/807?q=Danilo%20Kovacevic)
1. CSEC-465-01,SoftwareDev&ProbSolvII,Danilo Kovacevic (https://www.ratemyprofessors.com/search/professors/807?q=Danilo%20Kovacevic)
CSEC-468,SoftwareDev&ProbSolvII,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
1. CSEC-468-01,SoftwareDev&ProbSolvII,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
2. CSEC-468-600,SoftwareDev&ProbSolvII,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
CSEC-471,Software Dev for Transfers,Robert St Jacques (https://www.ratemyprofessors.com/search/professors/807?q=Robert%20St%20Jacques)
1. CSEC-471-01,Software Dev for Transfers,Thomas Maszerowski (https://www.ratemyprofessors.com/search/professors/807?q=Thomas%20Maszerowski)
2. CSEC-471-02,Software Dev for Transfers,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
3. CSEC-471-600,Software Dev for Transfers,Zachary Eager (https://www.ratemyprofessors.com/search/professors/807?q=Zachary%20Eager)
CSEC-472,VIP Computing,Erika Mesh (https://www.ratemyprofessors.com/search/professors/807?q=Erika%20Mesh)
1. CSEC-472-01,VIP Computing II,Erika Mesh (https://www.ratemyprofessors.com/search/professors/807?q=Erika%20Mesh)
2. CSEC-472-02,VIP Computing - Grad,Erika Mesh (https://www.ratemyprofessors.com/search/professors/807?q=Erika%20Mesh)
CSEC-473,Scholar Meeting,Daniel Bogaard (https://www.ratemyprofessors.com/search/professors/807?q=Daniel%20Bogaard)
1. CSEC-473-01,Research Methods,Roshan Peiris (https://www.ratemyprofessors.com/search/professors/807?q=Roshan%20Peiris)
2. CSEC-473-02,FoundOfHCI,Robert Kostin (https://www.ratemyprofessors.com/search/professors/807?q=Robert%20Kostin)
CSEC-490,FoundOfHCI,Tae Oh (https://www.ratemyprofessors.com/search/professors/807?q=Tae%20Oh)
