Course Name,Course Description,Professor Name and Link
2. CSEC-790-600,Intro to Interactive Media,Elizabeth Lawley (https://www.ratemyprofessors.com/search/professors/807?q=Elizabeth%20Lawley)
CSEC-791,Intro to Interactive Media,Elizabeth Lawley (https://www.ratemyprofessors.com/search/professors/807?q=Elizabeth%20Lawley)
1. CSEC-791-01,Intro to Interactive Media,Elizabeth Lawley (https://www.ratemyprofessors.com/search/professors/807?q=Elizabeth%20Lawley)
CSEC-799,2D Animation and Asset Prod,Elouise Oyzon (https://www.ratemyprofessors.com/search/professors/807?q=Elouise%20Oyzon)
1. CSEC-799-02,Interac Des & Alg Prob Sol III,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
2. CSEC-799-03,Interactive Media Development,Erika Mesh (https://www.ratemyprofessors.com/search/professors/807?q=Erika%20Mesh)
CSEC-88,Interactive Media Development,Erin Cascioli (https://www.ratemyprofessors.com/search/professors/807?q=Erin%20Cascioli)
1. CSEC-88-01,Interactive Media Development,Austin Willoughby (https://www.ratemyprofessors.com/search/professors/807?q=Austin%20Willoughby)
CSEC-900,Interactive Media Development,Eric Baker (https://www.ratemyprofessors.com/search/professors/807?q=Eric%20Baker)
1. CSEC-900-01,Interactive Media Development,Austin Willoughby (https://www.ratemyprofessors.com/search/professors/807?q=Austin%20Willoughby)
CSEC-901,Interactive Media Development,Eric Baker (https://www.ratemyprofessors.com/search/professors/807?q=Eric%20Baker)
1. CSEC-901-01,Game Dev for Programmers,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
CSEC-909,RTSG I,Austin Willoughby (https://www.ratemyprofessors.com/search/professors/807?q=Austin%20Willoughby)
1. CSEC-909-01,3D Animation and Asset Prod,Charles Miller (https://www.ratemyprofessors.com/search/professors/807?q=Charles%20Miller)
CSEC-99,3D Animation and Asset Prod,Charles Miller (https://www.ratemyprofessors.com/search/professors/807?q=Charles%20Miller)
1. CSEC-99-01,3D Animation and Asset Prod,Jake Adams (https://www.ratemyprofessors.com/search/professors/807?q=Jake%20Adams)
2. CSEC-99-02,3D Animation and Asset Prod,Luis Bobadilla Sotelo (https://www.ratemyprofessors.com/search/professors/807?q=Luis%20Bobadilla%20Sotelo)
3. CSEC-99-600,3D Animation and Asset Prod,Luis Bobadilla Sotelo (https://www.ratemyprofessors.com/search/professors/807?q=Luis%20Bobadilla%20Sotelo)
DSCI,Game Design & Development I,Andrew Wheeland (https://www.ratemyprofessors.com/search/professors/807?q=Andrew%20Wheeland)
DSCI-601,Intro to Game Web Tech,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
1. DSCI-601-01,Intro to Game Web Tech,Andrew Wheeland (https://www.ratemyprofessors.com/search/professors/807?q=Andrew%20Wheeland)
2. DSCI-601-02,Intro to Game Web Tech,Travis Stodter (https://www.ratemyprofessors.com/search/professors/807?q=Travis%20Stodter)
DSCI-602,Intro to Game Web Tech,Ryan Burst (https://www.ratemyprofessors.com/search/professors/807?q=Ryan%20Burst)
1. DSCI-602-01,Intro to Game Web Tech,Travis Stodter (https://www.ratemyprofessors.com/search/professors/807?q=Travis%20Stodter)
DSCI-633,Intro to Game Web Tech,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
1. DSCI-633-01,Intro to Game Web Tech,Andrew Wheeland (https://www.ratemyprofessors.com/search/professors/807?q=Andrew%20Wheeland)
2. DSCI-633-03,Experience Design Games&Media,Rebecca Johnson (https://www.ratemyprofessors.com/search/professors/807?q=Rebecca%20Johnson)
3. DSCI-633-04,Data Struc & Alg Game & Sim II,Luis Bobadilla Sotelo (https://www.ratemyprofessors.com/search/professors/807?q=Luis%20Bobadilla%20Sotelo)
4. DSCI-633-800,Data Struc & Alg Game & Sim II,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
DSCI-644,Data Struc & Alg Game & Sim II,Luis Bobadilla Sotelo (https://www.ratemyprofessors.com/search/professors/807?q=Luis%20Bobadilla%20Sotelo)
1. DSCI-644-01,Data Struc & Alg Game & Sim II,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
DSCI-699,Data Struc & Alg Game & Sim II,Chao Peng (https://www.ratemyprofessors.com/search/professors/807?q=Chao%20Peng)
1. DSCI-699-01,Game Design & Development II,David Sanchez (https://www.ratemyprofessors.com/search/professors/807?q=David%20Sanchez)
DSCI-700,Game Design & Development II,David Sanchez (https://www.ratemyprofessors.com/search/professors/807?q=David%20Sanchez)
1. DSCI-700-01,Game Design & Development II,Sean Boyle (https://www.ratemyprofessors.com/search/professors/807?q=Sean%20Boyle)
DSCI-781,Game Design & Development II,Eric Baker (https://www.ratemyprofessors.com/search/professors/807?q=Eric%20Baker)
1. DSCI-781-01,Game Design & Development II,Sean Boyle (https://www.ratemyprofessors.com/search/professors/807?q=Sean%20Boyle)
DSCI-789,Game Design & Development II,Eric Baker (https://www.ratemyprofessors.com/search/professors/807?q=Eric%20Baker)
1. DSCI-789-01,Rich Media Web App Dev I,John-Paul Takats (https://www.ratemyprofessors.com/search/professors/807?q=John-Paul%20Takats)
2. DSCI-789-02,Rich Media Web App Dev I,Ann Warren (https://www.ratemyprofessors.com/search/professors/807?q=Ann%20Warren)
DSCI-799,Rich Media Web App Dev I,Andrew Wheeland (https://www.ratemyprofessors.com/search/professors/807?q=Andrew%20Wheeland)
1. DSCI-799-01,Multi-platform Media App Dev,Dower Chin (https://www.ratemyprofessors.com/search/professors/807?q=Dower%20Chin)
GCIS,MapsMappingGeospatialTechnolog,Nicolas LaLone (https://www.ratemyprofessors.com/search/professors/807?q=Nicolas%20LaLone)
GCIS-123,IntroductionToGeographicInform,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
1. GCIS-123-01,SpatialAlgorithmProblemSolving,Brian Tomaszewski (https://www.ratemyprofessors.com/search/professors/807?q=Brian%20Tomaszewski)
2. GCIS-123-02,Level Design,Sten McKinzie (https://www.ratemyprofessors.com/search/professors/807?q=Sten%20McKinzie)
3. GCIS-123-03,Level Design,Sten McKinzie (https://www.ratemyprofessors.com/search/professors/807?q=Sten%20McKinzie)
4. GCIS-123-04,Game Modification,Sten McKinzie (https://www.ratemyprofessors.com/search/professors/807?q=Sten%20McKinzie)
5. GCIS-123-05,Rich Media Web App Dev II,Austin Willoughby (https://www.ratemyprofessors.com/search/professors/807?q=Austin%20Willoughby)
6. GCIS-123-06,Sys Concepts Games & Media,Christopher Egert (https://www.ratemyprofessors.com/search/professors/807?q=Christopher%20Egert)
7. GCIS-123-07,Physical Comp & Alt Interfaces,Travis Stodter (https://www.ratemyprofessors.com/search/professors/807?q=Travis%20Stodter)
8. GCIS-123-08,GeoVis,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
9. GCIS-123-09,Undergraduate Co-op,Elouise Oyzon (https://www.ratemyprofessors.com/search/professors/807?q=Elouise%20Oyzon)
10. GCIS-123-10,Found of Interactive Narrative,Andrew Ervin (https://www.ratemyprofessors.com/search/professors/807?q=Andrew%20Ervin)
11. GCIS-123-11,Found of Game Graphics Prog,Christopher Cascioli (https://www.ratemyprofessors.com/search/professors/807?q=Christopher%20Cascioli)
12. GCIS-123-12,IGM Production Studio,Aaron Nieboer (https://www.ratemyprofessors.com/search/professors/807?q=Aaron%20Nieboer)
13. GCIS-123-13,IGM Production Studio,Jessica Bayliss (https://www.ratemyprofessors.com/search/professors/807?q=Jessica%20Bayliss)
14. GCIS-123-500,Project in FOSS Dev,Stephen Jacobs (https://www.ratemyprofessors.com/search/professors/807?q=Stephen%20Jacobs)
15. GCIS-123-501,New Media ID Capstone I,Travis Stodter (https://www.ratemyprofessors.com/search/professors/807?q=Travis%20Stodter)
16. GCIS-123-502,New Media ID Capstone I,Travis Stodter (https://www.ratemyprofessors.com/search/professors/807?q=Travis%20Stodter)
17. GCIS-123-600,Research Studio,Thomas Kinsman (https://www.ratemyprofessors.com/search/professors/807?q=Thomas%20Kinsman)
18. GCIS-123-601,Research Studio,Wyllona Harris Homan (https://www.ratemyprofessors.com/search/professors/807?q=Wyllona%20Harris%20Homan)
19. GCIS-123-602,Independent Study,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
20. GCIS-123-603,Independent Study,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
21. GCIS-123-604,Independent Study,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
22. GCIS-123-605,Independent Study,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
23. GCIS-123-606,Independent Study,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
24. GCIS-123-607,Independent Study,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
25. GCIS-123-608,Game Development Processes,Erika Mesh (https://www.ratemyprofessors.com/search/professors/807?q=Erika%20Mesh)
26. GCIS-123-609,Game Design,Christopher Egert (https://www.ratemyprofessors.com/search/professors/807?q=Christopher%20Egert)
27. GCIS-123-610,Tabletop RPG Design,Sean Boyle (https://www.ratemyprofessors.com/search/professors/807?q=Sean%20Boyle)
28. GCIS-123-700,Digital Audio Production,Carlos Castellanos (https://www.ratemyprofessors.com/search/professors/807?q=Carlos%20Castellanos)
29. GCIS-123-800,IGM Production Studio,Jessica Bayliss (https://www.ratemyprofessors.com/search/professors/807?q=Jessica%20Bayliss)
GCIS-124,IGM Grad Research Studio,Konstantinos Papangelis (https://www.ratemyprofessors.com/search/professors/807?q=Konstantinos%20Papangelis)
1. GCIS-124-01,XR Asset Production,Jake Adams (https://www.ratemyprofessors.com/search/professors/807?q=Jake%20Adams)
2. GCIS-124-02,Colloquium in Game Des and Dev,David Simkins (https://www.ratemyprofessors.com/search/professors/807?q=David%20Simkins)
